Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Jori,429799,-,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Airton,377799,12,27,,31,1,-,-,-,-,-,-,-,"0,00",90',BRA1_2022,BRA1,2022,América Mineiro
Robson,902033,-,20,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Matheus Cavichioli,54274,1,34,,34,25,-,-,1,-,-,-,-,"1,52",2.250',BRA1_2022,BRA1,2022,América Mineiro
Jailson,112940,42,39,,12,12,-,-,1,-,-,-,-,"1,25",1.080',BRA1_2022,BRA1,2022,América Mineiro
Arthur,977464,25,18,,21,7,-,-,2,-,-,6,1,"1,43",174',BRA1_2022,BRA1,2022,América Mineiro
Iago Maidana,348261,3,25,,28,17,3,-,3,1,-,5,2,"1,76",1.032',BRA1_2022,BRA1,2022,América Mineiro
Gustavo Marques,977465,-,19,,9,1,-,-,-,-,-,1,-,"1,00",45',BRA1_2022,BRA1,2022,América Mineiro
Luan Patrick,658674,34,19,,34,10,-,-,3,-,-,1,3,"1,40",810',BRA1_2022,BRA1,2022,América Mineiro
Zé Vítor,879236,14,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Éder,375690,33,26,,33,33,-,2,6,-,-,-,1,"1,39",2.943',BRA1_2022,BRA1,2022,América Mineiro
Mateus Henrique,977471,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Marlon,443721,6,27,,30,29,-,1,5,-,1,3,12,"1,28",2.196',BRA1_2022,BRA1,2022,América Mineiro
Germán Conti,284321,4,27,,27,23,-,-,1,-,-,6,-,"1,30",1.648',BRA1_2022,BRA1,2022,América Mineiro
Ricardo Silva,206097,-,28,,19,11,-,-,2,-,-,3,1,"1,91",741',BRA1_2022,BRA1,2022,América Mineiro
Gabriel Gomes,969596,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Júlio,985345,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Raúl Cáceres,147410,27,29,,33,26,1,2,1,-,-,8,12,"1,73",1.625',BRA1_2022,BRA1,2022,América Mineiro
Vitor Hugo,722420,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Patric,95087,2,32,,36,30,-,-,6,-,-,12,5,"1,23",1.712',BRA1_2022,BRA1,2022,América Mineiro
João Paulo,167471,16,35,,13,6,-,-,-,-,-,2,2,"1,50",347',BRA1_2022,BRA1,2022,América Mineiro
Danilo Avelar,140748,22,32,,27,19,-,2,2,-,-,9,6,"1,11",868',BRA1_2022,BRA1,2022,América Mineiro
Carlos Junio,902121,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Rodolfo Moisés,977466,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Jurandir,985346,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Matheusinho,401533,7,23,,28,28,2,-,2,-,1,15,9,"1,46",1.371',BRA1_2022,BRA1,2022,América Mineiro
Emmanuel Martínez,360526,-,27,,4,4,-,-,1,-,-,1,3,"1,50",263',BRA1_2022,BRA1,2022,América Mineiro
Lucas Kal,435489,21,25,,33,28,-,-,3,-,-,2,9,"1,50",2.168',BRA1_2022,BRA1,2022,América Mineiro
Martín Benítez,189418,-,27,,16,15,1,3,2,-,-,8,6,"1,87",755',BRA1_2022,BRA1,2022,América Mineiro
Zé Ricardo,476336,5,25,,35,9,-,-,-,-,-,7,1,"1,56",227',BRA1_2022,BRA1,2022,América Mineiro
Gustavinho,800649,18,19,,23,10,-,-,2,-,-,4,6,"1,10",391',BRA1_2022,BRA1,2022,América Mineiro
Juan Pablo Ramírez,446850,10,23,,25,16,1,1,3,-,-,14,2,"1,31",389',BRA1_2022,BRA1,2022,América Mineiro
Alê,543614,30,31,,28,28,2,2,2,-,1,4,10,"1,32",1.936',BRA1_2022,BRA1,2022,América Mineiro
Juninho,271187,8,33,,35,35,5,6,6,-,-,-,4,"1,40",3.109',BRA1_2022,BRA1,2022,América Mineiro
Flávio,672618,39,21,,11,2,-,-,-,-,-,2,-,"0,00",24',BRA1_2022,BRA1,2022,América Mineiro
Lucas Gabriel,875555,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Juninho Valoura,101542,15,35,,21,1,-,-,-,-,-,1,-,"0,00",14',BRA1_2022,BRA1,2022,América Mineiro
Diogo Amaral,902122,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Kevyn,977717,20,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Gonzalo Mastriani,195882,-,28,,15,11,1,1,1,-,-,8,3,"1,27",466',BRA1_2022,BRA1,2022,América Mineiro
Yan Sasse,469136,-,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Carlos Alberto,727747,38,19,,16,6,-,-,1,-,-,6,-,"0,67",151',BRA1_2022,BRA1,2022,América Mineiro
Adyson,977467,-,15,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Renato Marques,985351,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Pedrinho,538978,29,21,,19,19,4,2,3,-,-,10,8,"1,47",967',BRA1_2022,BRA1,2022,América Mineiro
Everaldo,388397,37,27,,29,29,4,2,6,-,-,4,19,"1,34",1.908',BRA1_2022,BRA1,2022,América Mineiro
Paulinho Bóia,544895,47,23,,4,4,-,1,-,-,-,-,4,"1,50",290',BRA1_2022,BRA1,2022,América Mineiro
Rodolfo,374097,-,29,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Rodriguinho,977463,13,18,,10,4,-,-,2,-,-,2,2,"0,50",189',BRA1_2022,BRA1,2022,América Mineiro
Kawê,791721,31,19,,5,2,-,-,-,-,-,2,-,"0,50",29',BRA1_2022,BRA1,2022,América Mineiro
Henrique Almeida,103743,19,30,,35,28,6,-,8,-,-,7,20,"1,50",1.506',BRA1_2022,BRA1,2022,América Mineiro
Felipe Azevedo,75111,11,34,,37,36,4,2,1,1,-,6,25,"1,47",2.291',BRA1_2022,BRA1,2022,América Mineiro
Wellington Paulista,51716,9,38,,25,19,2,-,2,-,-,17,3,"1,47",504',BRA1_2022,BRA1,2022,América Mineiro
Léo Passos,528004,17,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Aloísio,55246,99,33,,26,22,4,2,4,-,-,12,9,"1,09",945',BRA1_2022,BRA1,2022,América Mineiro
Washington Aguerre,273203,93,29,,13,2,-,-,1,-,-,-,-,"0,50",180',BRA1_2023,BRA1,2023,América Mineiro
Jori,429799,12,26,,14,11,-,-,1,-,-,-,-,"0,55",990',BRA1_2023,BRA1,2023,América Mineiro
Mateus Pasinato,349418,14,30,,24,10,-,-,1,-,-,-,-,"1,00",900',BRA1_2023,BRA1,2023,América Mineiro
Matheus Cavichioli,54274,1,35,,26,15,-,-,-,-,1,-,-,"0,47",1.349',BRA1_2023,BRA1,2023,América Mineiro
Robson,902033,24,21,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Natan Sales,837712,73,19,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Arthur,977464,15,19,,1,1,-,-,-,-,-,-,-,"0,00",90',BRA1_2023,BRA1,2023,América Mineiro
Iago Maidana,348261,3,26,,31,30,-,-,5,-,1,6,2,"0,53",2.161',BRA1_2023,BRA1,2023,América Mineiro
Nicolas,442258,30,25,,21,11,1,1,1,-,-,3,6,"0,55",725',BRA1_2023,BRA1,2023,América Mineiro
Éder,375690,33,27,,34,24,-,-,5,1,-,7,3,"0,50",1.561',BRA1_2023,BRA1,2023,América Mineiro
Javier Méndez,285772,23,27,,19,7,-,-,2,-,-,5,2,"0,71",257',BRA1_2023,BRA1,2023,América Mineiro
Marlon,443721,6,28,,32,26,1,1,3,-,-,8,7,"0,54",1.672',BRA1_2023,BRA1,2023,América Mineiro
Mateus Henrique,977471,36,19,,24,12,-,1,1,-,1,5,6,"1,00",537',BRA1_2023,BRA1,2023,América Mineiro
Daniel Borges,276877,20,29,,19,14,-,1,1,-,1,6,4,"0,64",799',BRA1_2023,BRA1,2023,América Mineiro
Marcinho,432967,25,26,,19,12,-,-,4,-,-,2,6,"0,50",803',BRA1_2023,BRA1,2023,América Mineiro
Ricardo Silva,206097,45,29,,23,20,1,-,3,-,-,2,1,"0,90",1.609',BRA1_2023,BRA1,2023,América Mineiro
Esteban Burgos,337922,26,30,,12,4,-,-,2,1,-,-,1,"0,25",296',BRA1_2023,BRA1,2023,América Mineiro
Júlio,985345,18,18,,23,9,-,1,1,-,-,3,2,"1,11",595',BRA1_2023,BRA1,2023,América Mineiro
Wanderson,316067,4,31,,14,7,-,-,-,-,-,2,-,"1,14",499',BRA1_2023,BRA1,2023,América Mineiro
Paulinho,1082692,72,18,,2,1,-,-,-,-,-,1,-,"0,00",23',BRA1_2023,BRA1,2023,América Mineiro
Nino Paraíba,72451,2,36,,4,4,-,-,1,-,-,2,1,"0,00",196',BRA1_2023,BRA1,2023,América Mineiro
Danilo Avelar,140748,22,33,,31,26,3,1,5,-,1,2,8,"0,77",1.990',BRA1_2023,BRA1,2023,América Mineiro
Jhow,813119,71,19,,1,1,-,-,-,-,-,1,-,"0,00",14',BRA1_2023,BRA1,2023,América Mineiro
Samuel Alves,997863,74,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Matheusinho,401533,7,24,,8,7,-,-,-,-,-,5,2,"0,14",227',BRA1_2023,BRA1,2023,América Mineiro
Breno Lemos,1085060,-,18,,32,24,1,-,2,-,-,11,13,"0,83",1.164',BRA1_2023,BRA1,2023,América Mineiro
Emmanuel Martínez,360526,5,28,,35,35,1,5,4,-,-,6,11,"0,57",2.545',BRA1_2023,BRA1,2023,América Mineiro
Lucas Kal,435489,21,26,,29,19,-,1,4,-,-,3,9,"0,74",1.239',BRA1_2023,BRA1,2023,América Mineiro
Martín Benítez,189418,10,28,,26,20,3,4,4,-,-,6,12,"0,35",1.125',BRA1_2023,BRA1,2023,América Mineiro
Juan Cazares,146367,80,30,,15,12,-,1,-,-,-,11,2,"0,67",274',BRA1_2023,BRA1,2023,América Mineiro
Alê,543614,16,32,,34,27,1,-,5,1,-,13,6,"0,59",1.421',BRA1_2023,BRA1,2023,América Mineiro
Juninho,271187,8,34,,36,36,3,2,4,-,-,4,5,"0,67",2.915',BRA1_2023,BRA1,2023,América Mineiro
Yago Santos,900203,68,19,,1,1,-,-,-,-,-,1,-,"0,00",14',BRA1_2023,BRA1,2023,América Mineiro
Gonzalo Mastriani,195882,17,29,,33,24,11,1,1,-,1,2,12,"0,54",1.803',BRA1_2023,BRA1,2023,América Mineiro
Adyson,977467,44,16,,14,8,-,-,1,-,-,7,-,"0,38",239',BRA1_2023,BRA1,2023,América Mineiro
Renato Kayzer,404321,79,26,,8,3,-,-,-,-,-,3,-,"1,00",36',BRA1_2023,BRA1,2023,América Mineiro
Pedrinho,538978,29,22,,10,8,-,-,-,-,-,4,3,"0,25",410',BRA1_2023,BRA1,2023,América Mineiro
Everaldo,388397,37,28,,30,21,1,3,7,-,-,6,13,"0,38",1.241',BRA1_2023,BRA1,2023,América Mineiro
Renato Marques,985351,78,18,,18,12,3,1,2,-,-,8,3,"0,92",512',BRA1_2023,BRA1,2023,América Mineiro
Paulinho Bóia,544895,47,24,,6,3,-,-,2,-,-,1,2,"0,33",137',BRA1_2023,BRA1,2023,América Mineiro
Rodriguinho,977463,75,19,,26,20,2,3,1,-,-,5,8,"0,90",1.250',BRA1_2023,BRA1,2023,América Mineiro
Luan Campos,819249,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Mateus Gonçalves,352890,27,27,,4,3,-,-,1,-,-,3,-,"0,00",62',BRA1_2023,BRA1,2023,América Mineiro
Mikael,642689,87,23,,12,5,-,-,-,-,-,4,1,"0,20",150',BRA1_2023,BRA1,2023,América Mineiro
Henrique Almeida,103743,19,31,,7,4,-,-,-,-,-,2,2,"0,75",156',BRA1_2023,BRA1,2023,América Mineiro
Felipe Azevedo,75111,11,35,,33,30,4,1,2,-,1,5,23,"0,67",1.764',BRA1_2023,BRA1,2023,América Mineiro
Dadá Belmonte,546253,-,25,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Wellington Paulista,51716,9,39,,31,10,1,-,-,-,-,10,-,"0,20",217',BRA1_2023,BRA1,2023,América Mineiro
Rodrigo Varanda,668237,65,19,,15,12,2,1,1,-,-,8,3,"0,83",512',BRA1_2023,BRA1,2023,América Mineiro
Aloísio,55246,99,34,,12,12,3,1,3,-,-,2,9,"0,75",724',BRA1_2023,BRA1,2023,América Mineiro
Ighor Gabryel,902118,91,19,,2,2,-,-,-,-,-,2,-,"1,50",24',BRA1_2023,BRA1,2023,América Mineiro
Bento,691906,-,22,,33,33,-,-,3,-,-,-,-,"1,61",2.970',BRA1_2022,BRA1,2022,Athletico Paranaense
Mycael,743586,-,17,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Linck,742034,23,20,,12,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Santos,140811,1,31,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Anderson,598974,98,23,,38,5,-,-,1,-,-,-,-,"1,00",450',BRA1_2022,BRA1,2022,Athletico Paranaense
Gabriel Pereira,627213,43,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Abner,646402,16,21,,31,28,1,2,6,-,-,3,6,"1,54",2.107',BRA1_2022,BRA1,2022,Athletico Paranaense
Khellven,653348,13,20,,33,28,1,2,1,-,-,6,1,"1,61",2.099',BRA1_2022,BRA1,2022,Athletico Paranaense
Zé Ivaldo,484848,27,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Pedro Henrique,329720,34,25,,31,28,-,1,7,-,-,2,4,"1,54",2.308',BRA1_2022,BRA1,2022,Athletico Paranaense
Lucas Fasson,729266,37,20,,3,1,-,-,-,-,-,-,1,"0,00",75',BRA1_2022,BRA1,2022,Athletico Paranaense
Pedro Henrique,858712,-,18,,36,21,-,2,4,-,-,8,1,"1,86",1.382',BRA1_2022,BRA1,2022,Athletico Paranaense
Lucas Halter,468302,33,21,,7,2,-,-,1,-,-,1,-,"1,50",96',BRA1_2022,BRA1,2022,Athletico Paranaense
Luan Patrick,658674,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Matheus Felipe,882916,-,22,,37,23,2,-,3,-,-,4,-,"1,48",1.775',BRA1_2022,BRA1,2022,Athletico Paranaense
Vialle,880458,-,18,,1,1,-,-,-,-,-,1,-,"0,00",23',BRA1_2022,BRA1,2022,Athletico Paranaense
Nicolás Hernández,643750,2,23,,31,20,-,-,3,-,-,2,2,"1,55",1.618',BRA1_2022,BRA1,2022,Athletico Paranaense
Vinicius Kauê,658676,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Dani Bolt,735790,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Edu Ribeiro,371250,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Luis Orejuela,331057,24,25,,29,15,1,1,1,-,-,-,9,"1,33",1.174',BRA1_2022,BRA1,2022,Athletico Paranaense
João Pedro,876440,-,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Marcinho,432967,5,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Thiago Heleno,45431,44,32,,14,13,-,-,4,-,1,-,1,"1,46",1.142',BRA1_2022,BRA1,2022,Athletico Paranaense
Dourado,1036474,-,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Derik,1052819,-,15,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Dedé,113094,3,33,,15,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Ataíde,743830,21,17,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Christian,658678,88,20,,21,9,-,-,3,-,-,5,3,"1,56",426',BRA1_2022,BRA1,2022,Athletico Paranaense
Erick,633212,26,23,,35,31,3,-,2,-,-,11,6,"1,65",1.847',BRA1_2022,BRA1,2022,Athletico Paranaense
David Terans,261309,20,26,,32,31,12,4,3,-,-,5,22,"1,55",2.025',BRA1_2022,BRA1,2022,Athletico Paranaense
Alex Santana,219835,-,26,,14,13,2,-,4,-,-,4,4,"1,23",891',BRA1_2022,BRA1,2022,Athletico Paranaense
Matheus Fernandes,351892,6,23,,31,14,-,-,2,-,-,6,5,"1,50",684',BRA1_2022,BRA1,2022,Athletico Paranaense
Vitor Bueno,390368,8,26,,36,21,4,1,2,-,-,8,11,"1,38",1.128',BRA1_2022,BRA1,2022,Athletico Paranaense
Hugo Moura,644157,-,23,,29,25,1,-,5,-,1,4,10,"1,32",1.755',BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Cittadini,187210,18,27,,31,20,1,1,2,-,-,16,2,"1,80",712',BRA1_2022,BRA1,2022,Athletico Paranaense
Fernandinho,26267,-,36,,13,13,1,2,5,-,-,1,5,"1,69",972',BRA1_2022,BRA1,2022,Athletico Paranaense
Pablo Siles,511289,25,23,,10,5,-,-,2,-,-,3,2,"2,40",157',BRA1_2022,BRA1,2022,Athletico Paranaense
Bryan García,739496,30,20,,18,7,-,1,2,-,-,3,3,"1,86",276',BRA1_2022,BRA1,2022,Athletico Paranaense
Pierre,802646,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
João Vitor,1056019,-,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Bruno Leite,722130,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Murilo Sousa,1094386,-,16,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Vitor Roque,943837,-,16,,31,29,5,1,6,-,-,15,12,"1,48",1.310',BRA1_2022,BRA1,2022,Athletico Paranaense
Vitinho,670965,-,22,,25,25,2,-,1,1,-,8,14,"1,20",1.433',BRA1_2022,BRA1,2022,Athletico Paranaense
Agustín Canobbio,457533,9,22,,27,25,2,-,2,-,-,7,14,"1,52",1.411',BRA1_2022,BRA1,2022,Athletico Paranaense
Rômulo,957874,-,19,,33,26,1,1,1,-,-,16,7,"1,46",1.191',BRA1_2022,BRA1,2022,Athletico Paranaense
Tomás Cuello,503052,28,21,,33,31,2,4,4,1,-,12,16,"1,39",1.623',BRA1_2022,BRA1,2022,Athletico Paranaense
John Mercado,659804,50,19,,4,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2022,BRA1,2022,Athletico Paranaense
Bissoli,553458,17,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Julimar,593205,29,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Pedro Rocha,362844,32,26,,10,6,-,2,-,-,-,3,2,"1,67",280',BRA1_2022,BRA1,2022,Athletico Paranaense
Jajá,739477,41,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Pablo,148765,92,29,,29,25,4,1,6,-,-,8,11,"1,56",1.497',BRA1_2022,BRA1,2022,Athletico Paranaense
Carlos Eduardo,363794,11,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Emersonn,743599,90,16,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Davi Araújo,803432,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Marcelo Cirino,114514,7,29,,11,11,-,-,1,-,-,5,6,"1,82",473',BRA1_2022,BRA1,2022,Athletico Paranaense
Matheus Babi,788861,19,23,,11,6,-,-,1,-,-,6,-,"1,83",80',BRA1_2022,BRA1,2022,Athletico Paranaense
Reinaldo,646256,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
João Pedro,658670,22,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Jonathan Júnior,599259,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Athletico Paranaense
Marlos,68778,10,33,,15,6,-,-,-,-,-,6,-,"0,67",146',BRA1_2022,BRA1,2022,Athletico Paranaense
Bento,691906,1,23,,33,33,-,1,3,-,-,-,-,"1,33",2.970',BRA1_2023,BRA1,2023,Athletico Paranaense
Mycael,743586,41,18,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Léo Linck,742034,-,21,,38,5,-,-,2,-,-,-,-,"1,80",450',BRA1_2023,BRA1,2023,Athletico Paranaense
Gabriel Pereira,627213,43,19,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Khellven,653348,2,21,,20,15,-,4,1,-,-,2,9,"1,60",999',BRA1_2023,BRA1,2023,Athletico Paranaense
Zé Ivaldo,484848,3,25,,20,14,-,-,2,-,1,4,2,"1,43",1.016',BRA1_2023,BRA1,2023,Athletico Paranaense
Lucas Esquivel,829969,37,20,,20,19,-,1,3,-,-,1,-,"1,37",1.650',BRA1_2023,BRA1,2023,Athletico Paranaense
Kaique Rocha,633377,4,21,,28,10,1,-,2,-,-,3,1,"1,50",647',BRA1_2023,BRA1,2023,Athletico Paranaense
Cacá,603122,25,23,,20,19,2,-,6,-,-,-,1,"1,47",1.695',BRA1_2023,BRA1,2023,Athletico Paranaense
Pedro Henrique,329720,34,26,,13,11,1,-,3,-,-,1,2,"1,73",855',BRA1_2023,BRA1,2023,Athletico Paranaense
Pedro Henrique,858712,48,19,,4,4,-,-,1,-,-,-,-,"1,50",360',BRA1_2023,BRA1,2023,Athletico Paranaense
Matheus Felipe,882916,42,23,,37,9,-,-,1,-,-,2,5,"0,89",535',BRA1_2023,BRA1,2023,Athletico Paranaense
Lucas Belezi,668230,45,19,,6,1,-,-,1,-,-,1,-,"0,00",45',BRA1_2023,BRA1,2023,Athletico Paranaense
Vinicius Kauê,658676,21,19,,25,6,-,-,1,-,1,1,2,"0,50",343',BRA1_2023,BRA1,2023,Athletico Paranaense
Fernando,731057,6,22,,10,6,-,2,1,-,-,-,2,"1,67",479',BRA1_2023,BRA1,2023,Athletico Paranaense
Madson,177845,22,30,,26,24,2,2,4,-,-,10,7,"1,38",1.328',BRA1_2023,BRA1,2023,Athletico Paranaense
Thiago Heleno,45431,44,33,,33,32,-,-,9,-,-,1,1,"1,50",2.780',BRA1_2023,BRA1,2023,Athletico Paranaense
Bruno Peres,148751,33,32,,11,5,-,-,-,-,-,4,1,"1,80",153',BRA1_2023,BRA1,2023,Athletico Paranaense
Marcos André,1196689,-,16,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Léo Ataíde,743830,60,18,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Léo Derik,1052819,61,16,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Zanella,1091914,97,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
Christian,658678,88,21,,23,21,4,-,1,-,-,7,9,"1,43",1.365',BRA1_2023,BRA1,2023,Athletico Paranaense
Bruno Zapelli,711600,-,20,,22,21,2,2,-,-,-,8,13,"1,38",1.148',BRA1_2023,BRA1,2023,Athletico Paranaense
Erick,633212,26,24,,34,33,4,4,7,-,-,3,11,"1,55",2.505',BRA1_2023,BRA1,2023,Athletico Paranaense
David Terans,261309,10,27,,11,9,-,-,1,-,-,4,5,"1,44",395',BRA1_2023,BRA1,2023,Athletico Paranaense
Vitor Bueno,390368,8,27,,35,32,5,5,7,-,-,7,19,"1,41",2.087',BRA1_2023,BRA1,2023,Athletico Paranaense
Alex Santana,219835,80,27,,24,21,3,-,6,-,1,12,6,"1,29",1.000',BRA1_2023,BRA1,2023,Athletico Paranaense
Hugo Moura,644157,17,24,,36,30,-,-,6,-,-,15,10,"1,40",1.319',BRA1_2023,BRA1,2023,Athletico Paranaense
Léo Cittadini,187210,18,28,,9,5,-,-,-,-,-,2,3,"0,80",202',BRA1_2023,BRA1,2023,Athletico Paranaense
Dudu,1004728,53,16,,4,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2023,BRA1,2023,Athletico Paranaense
Chiqueti,1094387,-,16,,10,1,-,-,-,-,-,1,-,"0,00",14',BRA1_2023,BRA1,2023,Athletico Paranaense
João Cruz,1004738,57,16,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Athletico Paranaense
